student_id,exam_num,CRN,Course,Day,Block,Room,Capacity,Size,Valid
2177244,1,20317,ARTG1291,Mon,0 (9:00–11:00),BOS-Ryder-291,20,14,True
2178205,1,12782,MUSC1918,Mon,2 (2:00–4:00),BOS-Snell Library-045,12,12,True
2178466,1,10385,ACCT1201,Mon,1 (11:30–1:30),BOS-Ryder-429,42,42,True
2178788,1,13703,MUSC1915,Wed,0 (9:00–11:00),BOS-Ryder-275,20,11,True
2179788,1,20318,ARTG1291,Fri,0 (9:00–11:00),BOS-Snell Library-047,14,14,True
2180028,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2180171,1,17075,MSCR3700,Sat,4 (7:00–9:00),BOS-Behrakis Building-210,16,16,True
2180446,1,20318,ARTG1291,Fri,0 (9:00–11:00),BOS-Snell Library-047,14,14,True
2181881,1,12470,GAME2355,Mon,1 (11:30–1:30),BOS-Behrakis Building-210,16,15,True
2182476,1,22704,MATH2341,Sun,1 (11:30–1:30),BOS-Ryder-155,33,33,True
2183012,1,12457,PSYC1101,Tue,2 (2:00–4:00),BOS-Shillman-320,76,75,True
2183228,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2183300,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2189730,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2195939,1,12356,INTB1203,Thu,1 (11:30–1:30),BOS-Ryder-217,42,40,True
2196169,1,13000,MUSC1915,Tue,3 (4:30–6:30),BOS-Ryder-275,20,2,True
2196169,2,12403,MUSC1906,Fri,2 (2:00–4:00),BOS-West Village -108H,68,68,True
2199667,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2203972,1,22704,MATH2341,Sun,1 (11:30–1:30),BOS-Ryder-155,33,33,True
2208322,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2210464,1,22817,ARCH2320,Sat,4 (7:00–9:00),BOS-Snell Library-045,12,12,True
2210611,1,11866,POLS4910,Sun,0 (9:00–11:00),BOS-Forsyth-235,39,39,True
2210820,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
2213064,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2217888,1,20317,ARTG1291,Mon,0 (9:00–11:00),BOS-Ryder-291,20,14,True
2219129,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2224111,1,22817,ARCH2320,Sat,4 (7:00–9:00),BOS-Snell Library-045,12,12,True
2232740,1,14619,COMM3409,Mon,1 (11:30–1:30),BOS-Ryder-275,20,15,True
2232740,2,11526,MKTG2201,Mon,3 (4:30–6:30),BOS-Snell Library-111,42,41,True
2232740,3,12689,COMM2304,Fri,3 (4:30–6:30),BOS-Ell-410,36,15,True
2232740,4,13118,BUSN3110,Sun,3 (4:30–6:30),BOS-Forsyth-130,40,39,True
2234901,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2237379,1,20318,ARTG1291,Fri,0 (9:00–11:00),BOS-Snell Library-047,14,14,True
2263436,1,22416,EXED5945,Thu,0 (9:00–11:00),BOS-Ryder-452,26,26,True
2279099,1,11199,MUSC1112,Sat,3 (4:30–6:30),BOS-ISEC-102,275,283,False
2285701,1,12666,ARMY2201,Wed,2 (2:00–4:00),BOS-Ryder-277,20,17,True
2285979,1,22704,MATH2341,Sun,1 (11:30–1:30),BOS-Ryder-155,33,33,True
2288466,1,11783,PSYC1250,Sat,2 (2:00–4:00),BOS-Knowles-010,75,75,True
2289892,1,15456,CS3001,Thu,2 (2:00–4:00),BOS-Ryder-277,20,17,True
2289892,2,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2289895,1,13474,MATH2331,Tue,0 (9:00–11:00),BOS-HASTINGS-201,47,47,True
2290717,1,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2292122,1,20316,ARTG1291,Thu,1 (11:30–1:30),BOS-Snell Library-047,14,14,True
2292674,1,20498,MUSC2317,Wed,3 (4:30–6:30),BOS-Ryder-141,18,18,True
2292878,1,12404,MUSC1907,Thu,0 (9:00–11:00),BOS-Hayden-424,36,36,True
2293660,1,15706,EESH2000,Sun,3 (4:30–6:30),BOS-Ryder-202,17,17,True
2294023,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
2294063,1,20320,ARTG1291,Fri,1 (11:30–1:30),BOS-Ryder-299,14,14,True
2294933,1,11612,EECE2150,Tue,0 (9:00–11:00),BOS-Snell Library-119,40,40,True
2295123,1,12521,HONR1102,Mon,3 (4:30–6:30),BOS-Ryder-277,20,19,True
2295123,2,12338,CS1802,Wed,1 (11:30–1:30),BOS-Snell Library-013,37,37,True
2295123,3,11358,ENGW1111,Wed,4 (7:00–9:00),BOS-Ryder-293,20,16,True
2295123,4,11412,CS2500,Sat,0 (9:00–11:00),BOS-Dodge-050,82,82,True
2295123,5,14684,CS1800,Sun,3 (4:30–6:30),BOS-Richards-236,149,141,True
2295345,1,10249,PHYS1157,Thu,0 (9:00–11:00),BOS-Snell Library-015,38,38,True
2295405,1,20318,ARTG1291,Fri,0 (9:00–11:00),BOS-Snell Library-047,14,14,True
2295417,1,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2295458,1,11605,MATH2341,Thu,1 (11:30–1:30),BOS-West Village -108H,68,68,True
2295675,1,12666,ARMY2201,Wed,2 (2:00–4:00),BOS-Ryder-277,20,17,True
2295675,2,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
2295712,1,11634,CS3650,Sat,3 (4:30–6:30),BOS-Richards-236,149,122,True
2296660,1,15178,NRSG2350,Sat,3 (4:30–6:30),BOS-Richards-233,35,35,True
2296894,1,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2297955,1,12666,ARMY2201,Wed,2 (2:00–4:00),BOS-Ryder-277,20,17,True
2297955,2,12664,ARMY1101,Thu,4 (7:00–9:00),BOS-Ryder-277,20,7,True
2299112,1,15453,CS3000,Sat,2 (2:00–4:00),BOS-Shillman-335,114,109,True
2299900,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
2300744,1,20195,CS3001,Thu,2 (2:00–4:00),BOS-Ryder-157,33,33,True
2301972,1,14379,PHTH2300,Wed,2 (2:00–4:00),BOS-HASTINGS-204,25,25,True
2302804,1,12404,MUSC1907,Thu,0 (9:00–11:00),BOS-Hayden-424,36,36,True
2302804,2,20195,CS3001,Thu,2 (2:00–4:00),BOS-Ryder-157,33,33,True
2302814,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
2303074,1,20322,ARTG1291,Thu,0 (9:00–11:00),BOS-Ryder-299,14,14,True
