student_id,Exam 1,Exam 2,Exam 3,Exam 4,Exam 5,Exam 6,Exam 7,Exam 8
2512091,10791 | CHEM1153 | Fri 0 (9:00–11:00) | BOS-Ryder-277 | cap 20 | size 20 | valid True,12527 | HONR1102 | Fri 4 (7:00–9:00) | BOS-Ryder-264 | cap 16 | size 16 | valid True,11123 | MATH1341 | Mon 4 (7:00–9:00) | BOS-HASTINGS-109 | cap 24 | size 24 | valid True,11318 | ENGW1111 | Sat 1 (11:30–1:30) | BOS-Hurtig-308 | cap 36 | size 19 | valid True,10831 | GE1000 | Thu 0 (9:00–11:00) | BOS-Ryder-460 | cap 25 | size 25 | valid True,12185 | GE1501 | Thu 4 (7:00–9:00) | BOS-Snell Library-007 | cap 32 | size 32 | valid True,11503 | CHEM1151 | Wed 4 (7:00–9:00) | BOS-Ryder-283 | cap 20 | size 17 | valid True,
2512094,11343 | ENGW1111 | Mon 0 (9:00–11:00) | BOS-Ryder-277 | cap 20 | size 18 | valid True,12344 | GE1000 | Thu 3 (4:30–6:30) | BOS-Ryder-283 | cap 20 | size 20 | valid True,17108 | PHTH2414 | Wed 2 (2:00–4:00) | BOS-Ryder-243 | cap 21 | size 21 | valid True,,,,,
2512107,11122 | MATH1341 | Fri 0 (9:00–11:00) | BOS-Forsyth-235 | cap 39 | size 39 | valid True,10195 | CHEM1153 | Fri 3 (4:30–6:30) | BOS-Snell Library-123 | cap 40 | size 39 | valid True,12518 | CHEM1151 | Mon 3 (4:30–6:30) | BOS-Richards-458 | cap 117 | size 116 | valid True,12174 | GE1501 | Thu 0 (9:00–11:00) | BOS-Ell-311 | cap 28 | size 28 | valid True,11108 | GE1000 | Thu 2 (2:00–4:00) | BOS-INV-014 | cap 21 | size 21 | valid True,11515 | ENGW1111 | Tue 1 (11:30–1:30) | BOS-Ryder-277 | cap 20 | size 18 | valid True,,
2512140,11329 | ENGW1111 | Sun 0 (9:00–11:00) | BOS-Ryder-161 | cap 36 | size 19 | valid True,13045 | HONR1102 | Thu 4 (7:00–9:00) | BOS-Ryder-285 | cap 20 | size 16 | valid True,12388 | BIOL1107 | Wed 4 (7:00–9:00) | BOS-Richards-236 | cap 149 | size 147 | valid True,,,,,
2512143,10738 | PHMD1000 | Fri 1 (11:30–1:30) | BOS-Robinson-411 | cap 51 | size 50 | valid True,12718 | CHEM1163 | Mon 2 (2:00–4:00) | BOS-Kariotis-302 | cap 30 | size 30 | valid True,12734 | CHEM1161 | Sun 1 (11:30–1:30) | BOS-Richards-236 | cap 149 | size 145 | valid True,,,,,
2512200,10927 | BUSN1101 | Fri 0 (9:00–11:00) | BOS-Ryder-293 | cap 20 | size 19 | valid True,10382 | ACCT1201 | Fri 2 (2:00–4:00) | BOS-Ryder-217 | cap 42 | size 42 | valid True,13980 | ECON1116 | Mon 4 (7:00–9:00) | BOS-Snell Engineering-108 | cap 184 | size 180 | valid True,10041 | INTB1203 | Thu 2 (2:00–4:00) | BOS-Snell Library-123 | cap 40 | size 40 | valid True,11196 | ECON1126 | Tue 3 (4:30–6:30) | BOS-INV-022 | cap 44 | size 44 | valid True,11094 | BUSN1102 | Wed 3 (4:30–6:30) | BOS-Richards-237 | cap 28 | size 28 | valid True,,
2512203,10927 | BUSN1101 | Fri 0 (9:00–11:00) | BOS-Ryder-293 | cap 20 | size 19 | valid True,13980 | ECON1116 | Mon 4 (7:00–9:00) | BOS-Snell Engineering-108 | cap 184 | size 180 | valid True,10041 | INTB1203 | Thu 2 (2:00–4:00) | BOS-Snell Library-123 | cap 40 | size 40 | valid True,11196 | ECON1126 | Tue 3 (4:30–6:30) | BOS-INV-022 | cap 44 | size 44 | valid True,11094 | BUSN1102 | Wed 3 (4:30–6:30) | BOS-Richards-237 | cap 28 | size 28 | valid True,,,
2512218,11224 | MATH1341 | Fri 3 (4:30–6:30) | BOS-Snell Library-015 | cap 38 | size 38 | valid True,13479 | GE1000 | Sat 4 (7:00–9:00) | BOS-Ell-410 | cap 36 | size 25 | valid True,,,,,,
2512231,12119 | CHEM1151 | Fri 4 (7:00–9:00) | BOS-Richards-458 | cap 117 | size 116 | valid True,14398 | GE1000 | Mon 0 (9:00–11:00) | BOS-HASTINGS-112 | cap 26 | size 25 | valid True,11357 | ENGW1111 | Mon 2 (2:00–4:00) | BOS-Ryder-283 | cap 20 | size 19 | valid True,11092 | CHEM1153 | Sat 4 (7:00–9:00) | BOS-Forsyth-130 | cap 40 | size 40 | valid True,12493 | GE1501 | Tue 2 (2:00–4:00) | BOS-Hayden-321 | cap 32 | size 32 | valid True,,,
2512255,13051 | CHEM1163 | Fri 2 (2:00–4:00) | BOS-Forsyth-236 | cap 36 | size 15 | valid True,,,,,,,
2512329,10023 | POLS1000 | Tue 2 (2:00–4:00) | BOS-INV-019 | cap 97 | size 95 | valid True,,,,,,,
2512393,15618 | BIOC1000 | Wed 1 (11:30–1:30) | BOS-Dodge-119 | cap 63 | size 63 | valid True,,,,,,,
2512401,10418 | PSYC1101 | Fri 1 (11:30–1:30) | BOS-Robinson-107 | cap 74 | size 74 | valid True,17618 | BNSC1000 | Sat 2 (2:00–4:00) | BOS-Churchill-101 | cap 166 | size 133 | valid True,12517 | MATH1341 | Tue 3 (4:30–6:30) | BOS-Kariotis-011 | cap 51 | size 49 | valid True,,,,,
2512403,14328 | CS1802 | Mon 0 (9:00–11:00) | BOS-Ryder-285 | cap 20 | size 20 | valid True,10314 | CS1800 | Sat 4 (7:00–9:00) | BOS-ISEC-102 | cap 275 | size 269 | valid True,11115 | ACCT1201 | Sun 0 (9:00–11:00) | BOS-Ryder-159 | cap 36 | size 36 | valid True,15067 | ENGW1111 | Thu 3 (4:30–6:30) | BOS-Dodge-111 | cap 18 | size 18 | valid True,10786 | CS2500 | Wed 1 (11:30–1:30) | BOS-Dodge-050 | cap 82 | size 80 | valid True,,,
2512410,11032 | HSCI1000 | Sun 0 (9:00–11:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,12475 | PHTH1260 | Thu 4 (7:00–9:00) | BOS-Dodge-130 | cap 48 | size 48 | valid True,,,,,,
2512426,13260 | CHEM1163 | Sun 0 (9:00–11:00) | BOS-Forsyth-236 | cap 36 | size 6 | valid True,12531 | HONR1102 | Sun 4 (7:00–9:00) | BOS-Ryder-247 | cap 36 | size 18 | valid True,13049 | CHEM1161 | Tue 2 (2:00–4:00) | BOS-Ryder-155 | cap 33 | size 33 | valid True,15244 | BIOL1000 | Wed 2 (2:00–4:00) | BOS-Snell Library-007 | cap 32 | size 31 | valid True,,,,
